"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote","Exchange"
"ALTY","Global X SuperDividend Alternatives ETF","15.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/alty","NASDAQ"
"SRET","Global X SuperDividend REIT ETF","15.1399","$3.03M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/sret","NASDAQ"
"YLCO","Global X Yieldco Index ETF","11.68","$2.92M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ylco","NASDAQ"
"GLBS","Globus Maritime Limited","3.23","$89.24M","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/glbs","NASDAQ"
"GLUU","Glu Mobile Inc.","2.29","$308.5M","2007","Technology","EDP Services","http://www.nasdaq.com/symbol/gluu","NASDAQ"
"GLYC","GlycoMimetics, Inc.","4.31","$100.55M","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glyc","NASDAQ"
"GOGO","Gogo Inc.","11.47","$989.82M","2013","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/gogo","NASDAQ"
"GLNG","Golar LNG Limited","28.2","$2.85B","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/glng","NASDAQ"
"GMLP","Golar LNG Partners LP","22.66","$1.57B","2011","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/gmlp","NASDAQ"
"GDEN","Golden Entertainment, Inc.","13.75","$305.92M","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/gden","NASDAQ"
"GOGL","Golden Ocean Group Limited","8.66","$1B","n/a","Consumer Services","Marine Transportation","http://www.nasdaq.com/symbol/gogl","NASDAQ"
"GBDC","Golub Capital BDC, Inc.","19.96","$1.1B","2010","n/a","n/a","http://www.nasdaq.com/symbol/gbdc","NASDAQ"
"GTIM","Good Times Restaurants Inc.","3.25","$39.97M","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/gtim","NASDAQ"
"GPRO","GoPro, Inc.","8.94","$1.27B","2014","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/gpro","NASDAQ"
"GSHT","Gores Holdings II, Inc.","10.0999","$404M","2017","Finance","Business Services","http://www.nasdaq.com/symbol/gsht","NASDAQ"
"GSHTU","Gores Holdings II, Inc.","10.38","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/gshtu","NASDAQ"
"GSHTW","Gores Holdings II, Inc.","1.24","n/a","2017","Finance","Business Services","http://www.nasdaq.com/symbol/gshtw","NASDAQ"
